,300104.SZ.Open,300104.SZ.High,300104.SZ.Low,300104.SZ.Close,300104.SZ.Volume,300104.SZ.Adjusted
1390,58.8,58.8,58.8,58.8,0,58.769
1391,58.8,58.8,58.8,58.8,0,58.769
1392,58.8,58.8,58.8,58.8,0,58.769
1393,58.8,58.8,58.8,58.8,0,58.769
1394,58.8,58.8,58.8,58.8,0,58.769
1395,58.8,58.8,58.8,58.8,0,58.769
1396,58.8,58.8,58.8,58.8,0,58.769
1397,58.8,58.8,58.8,58.8,0,58.769
1398,58.8,58.8,58.8,58.8,0,58.769
1399,58.8,58.8,58.8,58.8,0,58.769
1400,58.8,58.8,58.8,58.8,0,58.769
1401,58.8,58.8,58.8,58.8,0,58.769
1402,58.8,58.8,58.8,58.8,0,58.769
1403,58.8,58.8,58.8,58.8,0,58.769
1404,58.8,58.8,58.8,58.8,0,58.769
1405,58.8,58.8,58.8,58.8,0,58.769
1406,58.8,58.8,58.8,58.8,0,58.769
1407,58.8,58.8,58.8,58.8,0,58.769
1408,58.8,58.8,58.8,58.8,0,58.769
1409,58.8,58.8,58.8,58.8,0,58.769
1410,58.8,58.8,58.8,58.8,0,58.769
1411,58.8,58.8,58.8,58.8,0,58.769
1412,58.8,58.8,58.8,58.8,0,58.769
1413,58.8,58.8,58.8,58.8,0,58.769
1414,58.8,58.8,58.8,58.8,0,58.769
1415,58.8,58.8,58.8,58.8,0,58.769
1416,58.8,58.8,58.8,58.8,0,58.769
1417,58.8,58.8,58.8,58.8,0,58.769
1418,58.8,58.8,58.8,58.8,0,58.769
1419,58.8,58.8,58.8,58.8,0,58.769
1420,58.8,58.8,58.8,58.8,0,58.769
1421,58.8,58.8,58.8,58.8,0,58.769
1422,58.8,58.8,58.8,58.8,0,58.769
1423,58.8,58.8,58.8,58.8,0,58.769
1424,58.8,58.8,58.8,58.8,0,58.769
1425,58.8,58.8,58.8,58.8,0,58.769
1426,58.8,58.8,58.8,58.8,0,58.769
1427,58.8,58.8,58.8,58.8,0,58.769
1428,58.8,58.8,58.8,58.8,0,58.769
1429,58.8,58.8,58.8,58.8,0,58.769
1430,58.8,58.8,58.8,58.8,0,58.769
1431,58.8,58.8,58.8,58.8,0,58.769
1432,58.8,58.8,58.8,58.8,0,58.769
1433,58.8,58.8,58.8,58.8,0,58.769
1434,58.8,58.8,58.8,58.8,0,58.769
1435,58.8,58.8,58.8,58.8,0,58.769
1436,58.8,58.8,58.8,58.8,0,58.769
1437,58.8,58.8,58.8,58.8,0,58.769
1438,58.8,58.8,58.8,58.8,0,58.769
1439,58.8,58.8,58.8,58.8,0,58.769
1440,58.8,58.8,58.8,58.8,0,58.769
1441,58.8,58.8,58.8,58.8,0,58.769
1442,58.8,58.8,58.8,58.8,0,58.769
1443,58.8,58.8,58.8,58.8,0,58.769
1444,58.8,58.8,58.8,58.8,0,58.769
1445,58.8,58.8,58.8,58.8,0,58.769
1446,58.8,58.8,58.8,58.8,0,58.769
1447,58.8,58.8,58.8,58.8,0,58.769
1448,58.8,58.8,58.8,58.8,0,58.769
1449,58.8,58.8,58.8,58.8,0,58.769
1450,58.8,58.8,58.8,58.8,0,58.769
1451,58.8,58.8,58.8,58.8,0,58.769
1452,58.8,58.8,58.8,58.8,0,58.769
1453,58.8,58.8,58.8,58.8,0,58.769
1454,58.8,58.8,58.8,58.8,0,58.769
1455,58.8,58.8,58.8,58.8,0,58.769
1456,58.8,58.8,58.8,58.8,0,58.769
1457,58.8,58.8,58.8,58.8,0,58.769
1458,58.8,58.8,58.8,58.8,0,58.769
